epoch "Training Loss" "Valid. Loss" "Training Time" "Validation Time"
1 1.9818550216910087 1.6324388931353633 0:16:34 0:00:34
2 1.5959295297152116 1.5416854486678735 0:16:23 0:00:34
3 1.5075515414148812 1.4750071996317122 0:16:28 0:00:33
4 1.4355845143690764 1.4394620626498336 0:16:26 0:00:33
5 1.3712900621883393 1.4109034637292734 0:16:21 0:00:34
6 1.3100250056745149 1.3928389381676818 0:16:24 0:00:33
7 1.2519515382408715 1.3835240667239546 0:16:22 0:00:34
8 1.1944573921450423 1.380441386859638 0:16:22 0:00:33
9 1.1408330783528702 1.3872007706675666 0:16:22 0:00:33
10 1.088804850534235 1.3974266349317166 0:16:22 0:00:33
11 1.0401413623565379 1.4103218267520015 0:16:23 0:00:33
12 0.9949233545724752 1.4277248161669356 0:16:23 0:00:33
13 0.9511093798795714 1.4525599361608585 0:16:28 0:00:34
14 0.9106103446277655 1.4820533301502752 0:16:20 0:00:33
15 0.8735110304807371 1.505645832695519 0:16:25 0:00:34
16 0.840311489705297 1.5420336578600704 0:16:21 0:00:33
17 0.8101206699427955 1.5603336434775648 0:16:47 0:00:34
18 0.7839456565050396 1.5888076293201874 0:16:48 0:00:34
19 0.763507940995494 1.615680702959006 0:16:46 0:00:34
20 0.747673311777654 1.6298344538996394 0:16:41 0:00:34
